OBJECTID;Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;Auteur du chantier;Date de création;Dernier éditeur;Date dernière MAJ;SHAPE.AREA;SHAPE.LEN;geo_shape;geo_point_2d
806;CP000101;;75010;6;1;Ville de Paris;TRAVAUX_URGENCE;Effondrement;Rue Philippe de Girard;entre pl Jan Karski et Aqueduc;2016-09-26T12:00:00+02:00;2017-03-31T06:00:00+02:00;BARRAGE_TOTAL;Fermeture du tronçon;1;4;;Esri_Anonymous;2016-12-22T16:50:05+01:00;Esri_Anonymous;2017-03-09T15:00:21+01:00;0.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.361874032499566, 48.88247067217945], [2.362106417448582, 48.88243701838361], [2.361843195493057, 48.881998114354126], [2.361892267452053, 48.88164676495911], [2.3619782506855342, 48.88160427840918], [2.361817218423148, 48.88146116501014], [2.361737391558052, 48.88199755034309], [2.361927955043052, 48.882387754529844], [2.361932023773934, 48.882387776214195], [2.361874032499566, 48.88247067217945]]]}";48.8820064374, 2.36187833786
802;CP000096;;75017;5;3;PBA;REAMENAGEMENT_SECTEUR;;Secteur Clichy Batignolles;;2012-01-01T02:00:00+01:00;2020-12-31T02:00:00+01:00;RESTREINTE;Réduction de la circulation selon les phases;2;2;;Esri_Anonymous;2016-12-22T16:26:50+01:00;CHANTIERP;2017-02-13T11:49:04+01:00;0.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.305121208960458, 48.8940286761297], [2.306522926559501, 48.894887889269576], [2.307181898219225, 48.89522989252468], [2.308576235152954, 48.89568081765375], [2.309601215445032, 48.89605176013496], [2.309879089339216, 48.89627882023558], [2.310640573286925, 48.89656771393025], [2.310823441196159, 48.89628425850809], [2.313755984810872, 48.8946208923878], [2.313140300204301, 48.894389219410975], [2.318274213537186, 48.89152784444236], [2.31495108759188, 48.887941778546605], [2.3141679382599403, 48.88745148116527], [2.31264158381925, 48.8877648155069], [2.311174389960456, 48.88791205882133], [2.3106288746160972, 48.888228322505476], [2.304765364068656, 48.89024235328741], [2.303889522378694, 48.89029631387566], [2.301837390504391, 48.891865271681155], [2.301833319695338, 48.891865247946846], [2.305121208960458, 48.8940286761297]]]}";48.8917811434, 2.31039461796
817;CP000124;;75008;5;2;EOLE;TRAVAUX_PREPARATOIRES;Rabattement de nappe;Rue d'Isly;;2016-07-18T06:00:00+02:00;2017-06-30T04:00:00+02:00;RESTREINTE;Neutralisation stationnement, vélib;2;2;;Esri_Anonymous;2016-12-22T17:49:44+01:00;CHANTIERP;2017-02-13T11:44:32+01:00;0.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.3251188883130602, 48.874769669664786], [2.325191854718587, 48.8747760301439], [2.325216225219496, 48.87477438233602], [2.325232458165146, 48.87477447384071], [2.326634310365043, 48.87481389675997], [2.326634564152326, 48.874794266520645], [2.326039538907564, 48.874779615919884], [2.325226391264899, 48.87475540423315], [2.325157101565707, 48.8747437107374], [2.3251188883130602, 48.874769669664786]]]}";48.8747831049, 2.32587163429
787;CP000097;;75017;5;2;RATP L14;TRAVAUX_OUVRAGE;Prolongement L14 : tunnel;Place Charles Fillion;;2015-03-11T02:00:00+01:00;2017-12-31T02:00:00+01:00;RESTREINTE;Réduction de la circulation selon les phases;2;2;;Esri_Anonymous;2016-12-22T16:29:19+01:00;CHANTIERP;2017-02-13T11:45:05+01:00;0.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.316683599430476, 48.886646244661435], [2.317094562390262, 48.886949594140255], [2.317218247013925, 48.886872966137815], [2.316807237110074, 48.886573186236525], [2.316683599430476, 48.886646244661435]]]}";48.8867610849, 2.31695159063
786;CP000094;;75017;5;2;RATP L14;TRAVAUX_OUVRAGE;Prolongement L14 : Création de station;Porte de Clichy;;2014-01-01T03:00:00+01:00;2018-12-31T03:00:00+01:00;RESTREINTE;Réduction de la circulation selon les phases;2;2;;Esri_Anonymous;2016-12-22T16:19:18+01:00;Esri_Anonymous;2017-02-13T15:28:09+01:00;0.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.314176015524073, 48.89474734326218], [2.313454302820957, 48.894470758579644], [2.312447297127064, 48.895030104591584], [2.312035920778068, 48.89530138010636], [2.312436901325055, 48.895544009155756], [2.31269935379244, 48.895345640212525], [2.313775662245839, 48.89486759162938], [2.313802050773509, 48.89478208225891], [2.313800246421949, 48.894782071919806], [2.314176015524073, 48.89474734326218]]]}";48.894976092, 2.31302675225
562;CP000045;;75017;5;1;Eau de Paris;ENTRETIEN_RESEAU;Renouvellement des conduites EP et ENP;Bd Pershing;;2016-11-28T03:00:00+01:00;2017-03-17T03:00:00+01:00;RESTREINTE;Circulation déviée dans le stationnement;2;2;;Esri_Anonymous;2016-12-21T15:40:43+01:00;Esri_Anonymous;2017-02-13T15:13:32+01:00;0.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.283594873567034, 48.88079047746415], [2.283649493953439, 48.880753921540965], [2.2833284855786, 48.88048549578239], [2.283250401535061, 48.88052310091918], [2.283594873567034, 48.88079047746415]]]}";48.8806334121, 2.28344955727
834;CP000126;;75008;5;2;EOLE;TRAVAUX_PREPARATOIRES;Rabattement de nappe;35-41 rue Pasquier;;2016-08-08T06:00:00+02:00;2017-07-13T04:00:00+02:00;RESTREINTE;Neutralisation d'une file - Reste une file;2;2;;Esri_Anonymous;2016-12-22T17:54:59+01:00;CHANTIERP;2017-02-13T11:44:32+01:00;0.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.323757715950742, 48.87507013375047], [2.323809988779558, 48.87507280868897], [2.323870086962451, 48.87461152371481], [2.323817814593491, 48.874608848801415], [2.323757715950742, 48.87507013375047]]]}";48.8748408291, 2.32381390153
835;CP000128;;75008;5;3;Bouygues;REHABILITATION_IMMEUBLE;;Rue de Londres / Impasse Amsterdam;;2015-08-17T04:00:00+02:00;2018-12-31T02:00:00+01:00;RESTREINTE;Reste une file de circulation;2;2;;Esri_Anonymous;2016-12-22T17:59:49+01:00;CHANTIERP;2017-02-13T11:44:02+01:00;0.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.32603881428326, 48.87806422190663], [2.325061512885953, 48.878384706387145], [2.325096992324342, 48.87843071229389], [2.326075089193609, 48.87811855896516], [2.32603881428326, 48.87806422190663]]]}";48.8782458674, 2.325579416
721;CP000079;;75001;1;1;Ville de Paris;REAMENAGEMENT_VOIRIE;;Voie Georges Pompidou;;2016-09-09T14:00:00+02:00;2017-04-30T06:00:00+02:00;RESTREINTE;Fermeture du quai bas;2;4;;Esri_Anonymous;2016-12-22T14:40:03+01:00;CHANTIERP;2017-02-13T11:43:32+01:00;0.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.342457198713757, 48.858260647486055], [2.342577533720733, 48.85829819191798], [2.342888727069859, 48.85821423799916], [2.344461355528958, 48.85775885319033], [2.345443788182727, 48.85749177357994], [2.346259399984409, 48.85729873106564], [2.346802252610471, 48.857144646327086], [2.34681688584981, 48.857128069319515], [2.34678859020727, 48.85708389341809], [2.346289186585897, 48.85722393826561], [2.346026923448382, 48.857289131891946], [2.345281850651258, 48.857464712964735], [2.344440513340993, 48.85769568101798], [2.343322083997594, 48.85802268447326], [2.342925761394948, 48.85813710618518], [2.342457198713757, 48.858260647486055]]]}";48.8576872569, 2.34464914326
796;CP000112;;75006;2;3;Institut de France;REHABILITATION_IMMEUBLE;;Rue Mazarine;;2015-03-16T02:00:00+01:00;2017-11-30T02:00:00+01:00;Mise en impasse;Mise en impasse de la rue Mazarine;1;2;;Esri_Anonymous;2016-12-22T17:11:05+01:00;CHANTIERP;2017-02-13T11:44:02+01:00;0.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.337431052818724, 48.856217601156374], [2.337554712481563, 48.85592203263621], [2.33748093821774, 48.855910321124796], [2.337356353281736, 48.85620766876627], [2.337431052818724, 48.856217601156374]]]}";48.856064457, 2.33745570287
2321;CP000255;;75014;2;3;ESPACIL;CREATION_RESEAUX;Raccordement d'eau potable;avenue Paul Vaillant Couturier;N°156;2017-04-10T04:00:00+02:00;2017-04-14T04:00:00+02:00;RESTREINTE;Maintient d'une  file de circulation dans chaque sens;2;1;;Esri_Anonymous;2017-03-17T17:50:44+01:00;Esri_Anonymous;2017-03-17T17:50:44+01:00;0.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.332737273117762, 48.81684496124172], [2.332708615417414, 48.816831713457844], [2.33270504255321, 48.81682931374516], [2.332650875100274, 48.81683852961749], [2.332701110760895, 48.81699586598669], [2.332791355943262, 48.81698328176091], [2.332737273117762, 48.81684496124172]]]}";48.8169139062, 2.33271882628
